X.chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction
chr1	10381544	10382014	214812	214821	Thyroid_Epithelium	chr1:10381544-10382014	9CpGs	470bp	0.0446	0.914	0.869	0.657	0.576	6.59e-62	U
chr1	10390785	10391596	214967	214982	Blood_Granulocytes	chr1:10390785-10391596	15CpGs	811bp	0.189	0.923	0.734	0.537	0.455	1.62e-61	U
chr1	10427632	10427708	215760	215765	Gallbladder_epithelium	chr1:10427632-10427708	5CpGs	76bp	0.22	0.931	0.711	0.631	-0.00765	1.34e-201	U
chr1	10513827	10514013	217493	217499	Pancreas_Beta_cells	chr1:10513827-10514013	6CpGs	186bp	0.0304	0.921	0.891	0.599	0.394	3.86e-48	U
chr1	10518754	10518786	217557	217560	Lung_Alveolar_Epithelium	chr1:10518754-10518786	3CpGs	32bp	0.224	0.935	0.711	0.544	0.0327	3.18e-46	U
chr1	10525686	10525916	217633	217643	Blood_NK_cells	chr1:10525686-10525916	10CpGs	230bp	0.238	0.938	0.7	0.447	0.219	3.12e-47	U
chr1	10620747	10621083	219025	219038	Thyroid_Epithelium	chr1:10620747-10621083	13CpGs	336bp	0.0333	0.909	0.875	0.737	0.194	1.74e-35	U
chr1	10621099	10621267	219038	219043	Thyroid_Epithelium	chr1:10621099-10621267	5CpGs	168bp	0.0221	0.919	0.897	0.697	0.599	3.07e-58	U
chr1	10706572	10706733	221851	221861	Heart_Cardiomyocytes	chr1:10706572-10706733	10CpGs	161bp	0.0882	0.933	0.845	0.687	0.419	5.42e-100	U
chr1	10820995	10821153	224457	224463	Bone_Osteoblasts	chr1:10820995-10821153	6CpGs	158bp	0.0574	0.877	0.819	0.622	0.439	1.5e-207	U
chr1	10922328	10922353	226504	226507	Head_Neck_Epithelium	chr1:10922328-10922353	3CpGs	25bp	0.152	0.866	0.714	0.558	-0.301	3.65e-66	U
chr1	10947269	10947539	226986	226992	Pancreas_Beta_cells	chr1:10947269-10947539	6CpGs	270bp	0.0364	0.908	0.872	0.636	0.536	1.17e-58	U
chr1	10957446	10957509	227187	227193	Pancreas_Beta_cells	chr1:10957446-10957509	6CpGs	63bp	0.0336	0.933	0.899	0.718	0.465	1.34e-67	U
chr1	11006154	11006477	228031	228037	Ovary_Endometrial_Epithelium	chr1:11006154-11006477	6CpGs	323bp	0.218	0.895	0.676	0.345	-0.0145	1.96e-28	U
chr1	11006565	11006696	228038	228048	Ovary_Endometrial_Epithelium	chr1:11006565-11006696	10CpGs	131bp	0.296	0.903	0.608	0.361	-0.138	1.23e-35	U
chr1	11046519	11046726	228804	228818	Liver_Hepatocytes	chr1:11046519-11046726	14CpGs	207bp	0.0892	0.909	0.819	0.692	0.465	4.85e-105	U
chr1	11046885	11047139	228820	228836	Liver_Hepatocytes	chr1:11046885-11047139	16CpGs	254bp	0.109	0.922	0.813	0.753	0.408	4.52e-122	U
chr1	11082262	11082593	229722	229727	Pancreas_Alpha_cells	chr1:11082262-11082593	5CpGs	331bp	0.204	0.926	0.722	0.497	0.293	2.36e-49	U
chr1	11143240	11144040	230650	230657	Breast_Basal_Epithelium	chr1:11143240-11144040	7CpGs	800bp	0.104	0.914	0.81	0.576	0.224	6.25e-49	U
chr1	11179578	11179630	231056	231059	Heart_Fibroblasts	chr1:11179578-11179630	3CpGs	52bp	0.227	0.906	0.679	0.442	0.301	5.89e-40	U
chr1	11206030	11206561	231343	231349	Pancreas_Delta_cells	chr1:11206030-11206561	6CpGs	531bp	0.204	0.908	0.704	0.562	0.158	3.98e-37	U
chr1	11229111	11229392	231555	231558	Blood_B_cells	chr1:11229111-11229392	3CpGs	281bp	0.0725	0.837	0.764	0.531	0.0135	5.2e-38	U
chr1	11243030	11243643	231741	231754	Pancreas_Beta_cells	chr1:11243030-11243643	13CpGs	613bp	0.325	0.907	0.582	0.47	0.377	4.26e-61	U
chr1	11292419	11292518	232620	232624	Pancreas_Delta_cells	chr1:11292419-11292518	4CpGs	99bp	0.348	0.897	0.548	0.321	0.235	1.29e-22	U
chr1	11436228	11436273	234980	234984	Blood_T_cells	chr1:11436228-11436273	4CpGs	45bp	0.205	0.875	0.67	0.381	0.0131	6.78e-86	U
chr1	11665255	11665350	238978	238986	Blood_NK_cells	chr1:11665255-11665350	8CpGs	95bp	0.306	0.852	0.545	0.333	0.125	2.32e-21	U
chr1	11715002	11715013	240237	240240	Fallopian_Epithelium	chr1:11715002-11715013	3CpGs	11bp	0.0644	0.888	0.824	0.542	-0.0108	1.13e-22	U
chr1	11813126	11813285	242182	242186	Monocytes_Macrophages	chr1:11813126-11813285	4CpGs	159bp	0.157	0.872	0.715	0.47	-0.14	1.91e-53	U
chr1	11836164	11836212	242598	242602	Pancreas_Alpha_cells	chr1:11836164-11836212	4CpGs	48bp	0.22	0.89	0.67	0.413	0.218	5.53e-39	U
chr1	11846130	11846567	242812	242825	Heart_Cardiomyocytes	chr1:11846130-11846567	13CpGs	437bp	0.0977	0.917	0.819	0.731	0.659	2.36e-133	U
chr1	11846599	11847354	242826	242845	Heart_Cardiomyocytes	chr1:11846599-11847354	19CpGs	755bp	0.0637	0.918	0.855	0.749	0.632	2.81e-124	U
chr1	11879361	11879567	243401	243410	Kidney_Epithelium	chr1:11879361-11879567	9CpGs	206bp	0.305	0.835	0.53	0.363	-0.0358	1.08e-41	U
chr1	11905538	11905646	243909	243915	Blood_T_cells	chr1:11905538-11905646	6CpGs	108bp	0.186	0.895	0.709	0.324	0.0564	8.52e-81	U
chr1	11989695	11989920	245806	245811	Heart_Cardiomyocytes	chr1:11989695-11989920	5CpGs	225bp	0.0873	0.902	0.815	0.712	0.181	4.99e-80	U
chr1	12000432	12000659	246000	246008	Heart_Cardiomyocytes	chr1:12000432-12000659	8CpGs	227bp	0.109	0.904	0.795	0.673	0.508	2.96e-104	U
chr1	12034899	12035085	246817	246823	Blood_Granulocytes	chr1:12034899-12035085	6CpGs	186bp	0.148	0.92	0.772	0.639	0.491	2.71e-75	U
chr1	12103101	12103135	248014	248017	Blood_NK_cells	chr1:12103101-12103135	3CpGs	34bp	0.236	0.904	0.669	0.387	0.144	7.54e-34	U
chr1	12133774	12133995	248614	248622	Head_Neck_Epithelium	chr1:12133774-12133995	8CpGs	221bp	0.169	0.917	0.748	0.508	-0.719	8.46e-49	U
chr1	12177725	12177861	249429	249436	Blood_T_cells	chr1:12177725-12177861	7CpGs	136bp	0.0947	0.851	0.756	0.525	0.259	5.63e-95	U
chr1	12499334	12499960	253340	253352	Adipocytes	chr1:12499334-12499960	12CpGs	626bp	0.294	0.907	0.612	0.384	-0.0165	6.62e-21	U
chr1	12522875	12523215	253778	253785	Liver_Hepatocytes	chr1:12522875-12523215	7CpGs	340bp	0.0589	0.941	0.882	0.702	0.436	1.34e-96	U
chr1	12552851	12552968	254343	254349	Skeletal-Muscle	chr1:12552851-12552968	6CpGs	117bp	0.332	0.883	0.551	0.244	-0.337	1.43e-09	U
chr1	12574590	12574792	254677	254684	Breast_Basal_Epithelium	chr1:12574590-12574792	7CpGs	202bp	0.209	0.931	0.722	0.554	0.376	1.31e-89	U
chr1	12585508	12585889	254866	254877	Gallbladder_epithelium	chr1:12585508-12585889	11CpGs	381bp	0.0547	0.905	0.85	0.652	0.464	4.22e-219	U
chr1	12665953	12666158	256258	256266	Bone_Osteoblasts	chr1:12665953-12666158	8CpGs	205bp	0.193	0.937	0.745	0.607	0.494	2.99e-253	U
chr1	12666247	12666307	256266	256269	Heart_Fibroblasts	chr1:12666247-12666307	3CpGs	60bp	0.156	0.894	0.738	0.448	0.152	1.93e-34	U
chr1	13575714	13575770	266293	266296	Bone_Osteoblasts	chr1:13575714-13575770	3CpGs	56bp	0.128	0.902	0.774	0.6	0.492	1.6e-220	U
chr1	13578068	13578099	266338	266341	Bone_Osteoblasts	chr1:13578068-13578099	3CpGs	31bp	0.0709	0.864	0.793	0.557	0.44	4.76e-194	U
chr1	13711401	13711603	268427	268431	Blood_Granulocytes	chr1:13711401-13711603	4CpGs	202bp	0.0612	0.911	0.849	0.602	0.29	1.16e-41	U
chr1	13814565	13814770	269932	269937	Pancreas_Duct_cells	chr1:13814565-13814770	5CpGs	205bp	0.326	0.886	0.56	0.306	0.195	2.68e-28	U
chr1	13879251	13879438	270621	270624	Ovary_Endometrial_Epithelium	chr1:13879251-13879438	3CpGs	187bp	0.33	0.909	0.579	0.346	-0.901	8.29e-22	U
chr1	13984256	13984306	271741	271747	Pancreas_Alpha_cells	chr1:13984256-13984306	6CpGs	50bp	0.346	0.93	0.583	0.327	0.151	5.85e-34	U
chr1	14175164	14175346	273353	273362	Kidney_Epithelium	chr1:14175164-14175346	9CpGs	182bp	0.371	0.909	0.538	0.35	-0.00647	9.63e-58	U
chr1	14508642	14508756	276413	276417	Pancreas_Delta_cells	chr1:14508642-14508756	4CpGs	114bp	0.234	0.865	0.631	0.352	0.269	1.63e-21	U
